Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
27.316.000;0.00061165477;55.496.955;0.018019007;-1,52E-05;1,10E+02;-5,32E-05;75.978.165;76.022.837;14.022.721;-0.24142135;17.913.579;0.55559854;0.075646271;liquid
27.378.323;0.00063991729;55.499.112;0.018018306;0.047367508;0.047379038;0.17320822;75.953.412;75.984.753;14.053.917;-0.24081370;17.531.229;0.55718473;0.075559081;liquid
27.440.645;0.00066933115;55.500.884;0.018017731;0.094711830;0.094723890;0.34593802;75.927.912;75.948.422;14.084.660;-0.24021394;17.161.773;0.55874926;0.075471661;liquid
27.502.968;0.00069993618;55.502.280;0.018017278;0.14203403;0.14204664;0.51819545;75.901.686;75.913.760;14.114.954;-0.23962182;16.804.624;0.56029275;0.075384010;liquid
27.565.291;0.00073177416;55.503.308;0.018016944;0.18933513;0.18934832;0.68998632;75.874.755;75.880.687;14.144.806;-0.23903712;16.459.229;0.56181576;0.075296129;liquid
27.627.613;0.00076488737;55.503.975;0.018016728;0.23661609;0.23662987;0.86131626;75.847.136;75.849.127;14.174.221;-0.23845961;16.125.066;0.56331883;0.075208019;liquid
27.689.936;0.00079931906;55.504.288;0.018016626;0.28387783;0.28389223;10.321.907;75.818.850;75.819.010;14.203.203;-0.23788908;15.801.643;0.56480251;0.075119679;liquid
27.752.259;0.00083511497;55.504.255;0.018016637;0.33112124;0.33113628;12.026.147;75.789.912;75.790.269;14.231.759;-0.23732532;15.488.492;0.56626729;0.075031110;liquid
27.814.581;0.00087232035;55.503.882;0.018016758;0.37834714;0.37836285;13.725.936;75.760.341;75.762.843;14.259.893;-0.23676814;15.185.174;0.56771365;0.074942311;liquid
27.876.904;0.00091098311;55.503.175;0.018016987;0.42555634;0.42557275;15.421.319;75.730.152;75.736.672;14.287.610;-0.23621733;14.891.271;0.56914206;0.074853285;liquid
27.939.227;0.00095115216;55.502.141;0.018017323;0.47274960;0.47276674;17.112.346;75.699.359;75.711.701;14.314.916;-0.23567272;14.606.388;0.57055296;0.074764030;liquid
28.001.549;0.00099287693;55.500.786;0.018017763;0.51992766;0.51994555;18.799.062;75.667.979;75.687.876;14.341.815;-0.23513412;14.330.149;0.57194678;0.074674546;liquid
28.063.872;0.0010362091;55.499.116;0.018018305;0.56709122;0.56710989;20.481.510;75.636.024;75.665.148;14.368.312;-0.23460136;14.062.200;0.57332393;0.074584835;liquid
28.126.195;0.0010812014;55.497.135;0.018018948;0.61424093;0.61426042;22.159.733;75.603.509;75.643.471;14.394.412;-0.23407428;13.802.204;0.57468480;0.074494897;liquid
28.188.517;0.0011279080;55.494.851;0.018019690;0.66137745;0.66139778;23.833.773;75.570.445;75.622.798;14.420.118;-0.23355271;13.549.841;0.57602976;0.074404731;liquid
28.250.840;0.0011763846;55.492.267;0.018020529;0.70850139;0.70852259;25.503.670;75.536.845;75.603.089;14.445.437;-0.23303650;13.304.808;0.57735919;0.074314338;liquid
28.313.163;0.0012266875;55.489.390;0.018021463;0.75561333;0.75563543;27.169.463;75.502.721;75.584.303;14.470.371;-0.23252550;13.066.815;0.57867342;0.074223719;liquid
28.375.485;0.0012788762;55.486.224;0.018022492;0.80271383;0.80273688;28.831.190;75.468.084;75.566.401;14.494.926;-0.23201956;12.835.588;0.57997279;0.074132873;liquid
28.437.808;0.0013330099;55.482.773;0.018023612;0.84980344;0.84982747;30.488.888;75.432.943;75.549.348;14.519.106;-0.23151855;12.610.867;0.58125762;0.074041801;liquid
28.500.131;0.0013891505;55.479.043;0.018024824;0.89688268;0.89690771;32.142.592;75.397.311;75.533.109;14.542.914;-0.23102233;12.392.403;0.58252821;0.073950504;liquid
28.562.453;0.0014473609;55.475.037;0.018026126;0.94395203;0.94397812;33.792.338;75.361.195;75.517.650;14.566.354;-0.23053077;12.179.959;0.58378487;0.073858981;liquid
28.624.776;0.0015077057;55.470.761;0.018027515;0.99101198;0.99103916;35.438.159;75.324.607;75.502.941;14.589.432;-0.23004374;11.973.310;0.58502788;0.073767232;liquid
28.687.099;0.0015702515;55.466.218;0.018028992;10.380.630;10.380.913;37.080.088;75.287.553;75.488.952;14.612.150;-0.22956113;11.772.242;0.58625752;0.073675259;liquid
28.749.421;0.0016350662;55.461.413;0.018030554;10.851.055;10.851.350;38.718.158;75.250.044;75.475.654;14.634.513;-0.22908280;11.576.550;0.58747403;0.073583061;liquid
28.811.744;0.0017022190;55.456.349;0.018032200;11.321.399;11.321.706;40.352.400;75.212.088;75.463.021;14.656.524;-0.22860866;11.386.038;0.58867769;0.073490638;liquid
28.874.067;0.0017717816;55.451.031;0.018033930;11.791.666;11.791.986;41.982.845;75.173.691;75.451.025;14.678.187;-0.22813859;11.200.521;0.58986873;0.073397992;liquid
28.936.389;0.0018438268;55.445.461;0.018035741;12.261.861;12.262.193;43.609.522;75.134.863;75.439.643;14.699.506;-0.22767248;11.019.820;0.59104738;0.073305121;liquid
28.998.712;0.0019184297;55.439.645;0.018037634;12.731.986;12.732.332;45.232.461;75.095.611;75.428.850;14.720.484;-0.22721023;10.843.765;0.59221388;0.073212027;liquid
29.061.035;0.0019956668;55.433.584;0.018039606;13.202.046;13.202.406;46.851.689;75.055.940;75.418.624;14.741.125;-0.22675175;10.672.195;0.59336843;0.073118710;liquid
29.123.357;0.0020756162;55.427.283;0.018041656;13.672.044;13.672.418;48.467.236;75.015.860;75.408.943;14.761.432;-0.22629692;10.504.953;0.59451125;0.073025170;liquid
29.185.680;0.0021583588;55.420.745;0.018043785;14.141.983;14.142.372;50.079.127;74.975.375;75.399.787;14.781.409;-0.22584567;10.341.892;0.59564255;0.072931408;liquid
29.248.003;0.0022439761;55.413.973;0.018045990;14.611.866;14.612.271;51.687.390;74.934.493;75.391.135;14.801.060;-0.22539789;10.182.869;0.59676250;0.072837423;liquid
29.310.325;0.0023325527;55.406.971;0.018048271;15.081.697;15.082.118;53.292.051;74.893.219;75.382.970;14.820.386;-0.22495350;10.027.748;0.59787131;0.072743216;liquid
29.372.648;0.0024241741;55.399.741;0.018050626;15.551.479;15.551.916;54.893.135;74.851.561;75.375.271;14.839.393;-0.22451241;98.763.997;0.59896914;0.072648787;liquid
29.434.971;0.0025189286;55.392.286;0.018053055;16.021.213;16.021.668;56.490.666;74.809.523;75.368.023;14.858.082;-0.22407454;97.286.989;0.60005618;0.072554136;liquid
29.497.293;0.0026169061;55.384.610;0.018055557;16.490.904;16.491.377;58.084.669;74.767.111;75.361.207;14.876.458;-0.22363981;95.845.261;0.60113258;0.072459265;liquid
29.559.616;0.0027181987;55.376.714;0.018058132;16.960.554;16.961.045;59.675.169;74.724.332;75.354.810;14.894.523;-0.22320813;94.437.669;0.60219852;0.072364173;liquid
29.621.939;0.0028229005;55.368.603;0.018060777;17.430.165;17.430.675;61.262.188;74.681.190;75.348.814;14.912.280;-0.22277944;93.063.114;0.60325415;0.072268860;liquid
29.684.261;0.0029311075;55.360.278;0.018063493;17.899.740;17.900.269;62.845.749;74.637.690;75.343.205;14.929.733;-0.22235366;91.720.542;0.60429961;0.072173326;liquid
29.746.584;0.0030429181;55.351.743;0.018066279;18.369.281;18.369.830;64.425.875;74.593.839;75.337.970;14.946.884;-0.22193071;90.408.943;0.60533505;0.072077573;liquid
29.808.907;0.0031584327;55.342.999;0.018069133;18.838.790;18.839.361;66.002.588;74.549.640;75.333.095;14.963.737;-0.22151052;89.127.346;0.60636061;0.071981600;liquid
29.871.229;0.0032777543;55.334.049;0.018072055;19.308.270;19.308.862;67.575.909;74.505.100;75.328.566;14.980.294;-0.22109302;87.874.819;0.60737643;0.071885408;liquid
29.933.552;0.0034009873;55.324.896;0.018075045;19.777.722;19.778.337;69.145.860;74.460.222;75.324.372;14.996.558;-0.22067815;86.650.466;0.60838263;0.071788997;liquid
29.995.875;0.0035282392;55.315.542;0.018078102;20.247.150;20.247.788;70.712.462;74.415.013;75.320.501;15.012.532;-0.22026584;85.453.427;0.60937934;0.071692366;liquid
30.058.197;0.0036596191;55.305.989;0.018081224;20.716.554;20.717.216;72.275.734;74.369.475;75.316.940;15.028.219;-0.21985603;84.282.875;0.61036668;0.071595518;liquid
30.120.520;0.0037952391;55.296.240;0.018084412;21.185.937;21.186.623;73.835.698;74.323.615;75.313.681;15.043.622;-0.21944864;83.138.014;0.61134477;0.071498451;liquid
30.182.843;0.0039352132;55.286.296;0.018087665;21.655.300;21.656.012;75.392.372;74.277.437;75.310.711;15.058.743;-0.21904363;82.018.079;0.61231372;0.071401166;liquid
30.245.165;0.0040796576;55.276.161;0.018090982;22.124.645;22.125.383;76.945.777;74.230.945;75.308.021;15.073.586;-0.21864093;80.922.334;0.61327364;0.071303664;liquid
30.307.488;0.0042286915;55.265.835;0.018094362;22.593.975;22.594.740;78.495.931;74.184.143;75.305.601;15.088.152;-0.21824048;79.850.070;0.61422463;0.071205944;liquid
30.369.811;0.0043824362;55.255.321;0.018097804;23.063.290;23.064.083;80.042.853;74.137.037;75.303.443;15.102.444;-0.21784223;78.800.605;0.61516680;0.071108008;liquid
30.432.133;0.0045410154;55.244.622;0.018101310;23.532.592;23.533.414;81.586.562;74.089.631;75.301.537;15.116.465;-0.21744612;77.773.282;0.61610025;0.071009854;liquid
30.494.456;0.0047045557;55.233.738;0.018104876;24.001.883;24.002.735;83.127.076;74.041.928;75.299.876;15.130.218;-0.21705209;76.767.467;0.61702506;0.070911485;liquid
30.556.779;0.0048731857;55.222.673;0.018108504;24.471.164;24.472.047;84.664.413;73.993.934;75.298.450;15.143.705;-0.21666009;75.782.551;0.61794133;0.070812899;liquid
30.619.101;0.0050470369;55.211.427;0.018112193;24.940.437;24.941.351;86.198.590;73.945.652;75.297.253;15.156.929;-0.21627007;74.817.945;0.61884916;0.070714098;liquid
30.681.424;0.0052262437;55.200.002;0.018115941;25.409.703;25.410.650;87.729.625;73.897.087;75.296.277;15.169.892;-0.21588197;73.873.082;0.61974862;0.070615081;liquid
30.743.747;0.0054109424;55.188.401;0.018119749;25.878.963;25.879.944;89.257.535;73.848.243;75.295.515;15.182.596;-0.21549575;72.947.415;0.62063980;0.070515849;liquid
30.806.069;0.0056012728;55.176.625;0.018123617;26.348.219;26.349.234;90.782.337;73.799.125;75.294.961;15.195.044;-0.21511136;72.040.417;0.62152279;0.070416402;liquid
30.868.392;0.0057973767;55.164.676;0.018127542;26.817.472;26.818.523;92.304.048;73.749.735;75.294.607;15.207.238;-0.21472874;71.151.577;0.62239765;0.070316741;liquid
30.930.715;0.0059993991;55.152.556;0.018131526;27.286.724;27.287.811;93.822.684;73.700.079;75.294.449;15.219.181;-0.21434785;70.280.405;0.62326446;0.070216865;liquid
30.993.037;0.0062074875;55.140.265;0.018135567;27.755.974;27.757.100;95.338.261;73.650.161;75.294.479;15.230.874;-0.21396865;69.426.425;0.62412331;0.070116775;liquid
31.055.360;0.0064217925;55.127.806;0.018139666;28.225.225;28.226.390;96.850.795;73.599.985;75.294.694;15.242.321;-0.21359108;68.589.180;0.62497425;0.070016472;liquid
31.117.683;0.0066424674;55.115.181;0.018143821;28.694.478;28.695.683;98.360.302;73.549.554;75.295.086;15.253.524;-0.21321510;67.768.225;0.62581736;0.069915956;liquid
31.180.005;0.0068696684;55.102.390;0.018148033;29.163.734;29.164.981;99.866.798;73.498.874;75.295.652;15.264.484;-0.21284066;66.963.132;0.62665270;0.069815227;liquid
31.242.328;0.0071035543;55.089.435;0.018152301;29.632.993;29.634.283;10.137.030;73.447.947;75.296.386;15.275.204;-0.21246773;66.173.489;0.62748034;0.069714285;liquid
31.304.651;0.0073442876;55.076.318;0.018156624;30.102.258;30.103.591;10.287.082;73.396.778;75.297.285;15.285.687;-0.21209626;65.398.895;0.62830035;0.069613131;liquid
31.366.973;0.0075920328;55.063.041;0.018161002;30.571.528;30.572.907;10.436.837;73.345.372;75.298.342;15.295.933;-0.21172620;64.638.962;0.62911277;0.069511764;liquid
31.429.296;0.0078469581;55.049.604;0.018165435;31.040.805;31.042.230;10.586.297;73.293.731;75.299.556;15.305.946;-0.21135752;63.893.317;0.62991768;0.069410186;liquid
31.491.619;0.0081092345;55.036.009;0.018169922;31.510.090;31.511.563;10.735.464;73.241.860;75.300.921;15.315.727;-0.21099017;63.161.597;0.63071512;0.069308397;liquid
31.553.941;0.0083790363;55.022.257;0.018174464;31.979.383;31.980.906;10.884.339;73.189.764;75.302.434;15.325.279;-0.21062412;62.443.452;0.63150516;0.069206397;liquid
31.616.264;0.0086565405;55.008.349;0.018179058;32.448.686;32.450.260;11.032.923;73.137.445;75.304.092;15.334.604;-0.21025932;61.738.542;0.63228785;0.069104185;liquid
31.678.587;0.0089419276;54.994.288;0.018183707;32.918.000;32.919.626;11.181.217;73.084.909;75.305.890;15.343.703;-0.20989574;61.046.540;0.63306324;0.069001764;liquid
31.740.909;0.0092353811;54.980.074;0.018188408;33.387.325;33.389.005;11.329.224;73.032.158;75.307.827;15.352.579;-0.20953333;60.367.126;0.63383138;0.068899132;liquid
31.803.232;0.0095370878;54.965.708;0.018193161;33.856.662;33.858.397;11.476.944;72.979.198;75.309.899;15.361.233;-0.20917206;59.699.993;0.63459232;0.068796291;liquid
31.865.555;0.0098472375;54.951.192;0.018197967;34.326.012;34.327.804;11.624.379;72.926.031;75.312.103;15.369.668;-0.20881189;59.044.842;0.63534611;0.068693240;liquid
31.927.877;0.010166024;54.936.527;0.018202825;34.795.376;34.797.226;11.771.531;72.872.662;75.314.438;15.377.886;-0.20845279;58.401.384;0.63609280;0.068589979;liquid
31.990.200;0.010493643;54.921.713;0.018207735;35.264.754;35.266.665;11.918.400;72.819.094;75.316.899;15.385.888;-0.20809471;57.769.338;0.63683243;0.068486511;liquid
32.052.523;0.010830295;54.906.753;0.018212696;35.734.148;35.736.121;12.064.987;72.765.332;75.319.485;15.393.676;-0.20773762;57.148.431;0.63756505;0.068382833;liquid
32.114.845;0.011176183;54.891.647;0.018217708;36.203.558;36.205.594;12.211.296;72.711.380;75.322.194;15.401.252;-0.20738150;56.538.401;0.63829070;0.068278948;liquid
32.177.168;0.011531514;54.876.396;0.018222771;36.672.985;36.675.087;12.357.326;72.657.241;75.325.024;15.408.619;-0.20702629;55.938.992;0.63900942;0.068174854;liquid
32.239.491;0.011896497;54.861.002;0.018227884;37.142.430;37.144.598;12.503.078;72.602.918;75.327.973;15.415.777;-0.20667196;55.349.955;0.63972126;0.068070553;liquid
32.301.813;0.012271348;54.845.466;0.018233048;37.611.893;37.614.130;12.648.555;72.548.417;75.331.040;15.422.728;-0.20631850;54.771.049;0.64042625;0.067966045;liquid
32.364.136;0.012656281;54.829.787;0.018238261;38.081.375;38.083.683;12.793.758;72.493.741;75.334.221;15.429.475;-0.20596585;54.202.040;0.64112443;0.067861330;liquid
32.426.459;0.013051519;54.813.969;0.018243525;38.550.876;38.553.257;12.938.687;72.438.894;75.337.517;15.436.019;-0.20561398;53.642.703;0.64181585;0.067756408;liquid
32.488.781;0.013457285;54.798.011;0.018248838;39.020.398;39.022.854;13.083.344;72.383.879;75.340.926;15.442.362;-0.20526287;53.092.816;0.64250053;0.067651281;liquid
32.551.104;0.013873807;54.781.914;0.018254200;39.489.942;39.492.474;13.227.731;72.328.700;75.344.446;15.448.506;-0.20491248;52.552.165;0.64317852;0.067545947;liquid
32.613.427;0.014301316;54.765.680;0.018259611;39.959.507;39.962.118;13.371.848;72.273.361;75.348.077;15.454.451;-0.20456278;52.020.543;0.64384985;0.067440408;liquid
32.675.749;0.014740048;54.749.310;0.018265070;40.429.094;40.431.787;13.515.697;72.217.866;75.351.817;15.460.201;-0.20421373;51.497.748;0.64451456;0.067334663;liquid
32.738.072;0.015190241;54.732.804;0.018270579;40.898.705;40.901.480;13.659.278;72.162.218;75.355.665;15.465.755;-0.20386531;50.983.584;0.64517267;0.067228714;liquid
32.800.395;0.015652137;54.716.163;0.018276135;41.368.339;41.371.200;13.802.594;72.106.422;75.359.620;15.471.117;-0.20351749;50.477.859;0.64582423;0.067122560;liquid
32.862.717;0.016125983;54.699.388;0.018281740;41.837.998;41.840.947;13.945.646;72.050.481;75.363.683;15.476.288;-0.20317023;49.980.389;0.64646927;0.067016202;liquid
32.925.040;0.016612029;54.682.480;0.018287393;42.307.682;42.310.720;14.088.434;71.994.398;75.367.851;15.481.269;-0.20282350;49.490.993;0.64710781;0.066909640;liquid
32.987.363;0.017110528;54.665.441;0.018293093;42.777.392;42.780.522;14.230.960;71.938.178;75.372.125;15.486.062;-0.20247728;49.009.497;0.64773989;0.066802875;liquid
33.049.685;0.017621739;54.648.270;0.018298841;43.247.128;43.250.353;14.373.224;71.881.823;75.376.504;15.490.668;-0.20213153;48.535.730;0.64836554;0.066695906;liquid
33.112.008;0.018145922;54.630.968;0.018304636;43.716.892;43.720.213;14.515.229;71.825.338;75.380.987;15.495.089;-0.20178623;48.069.525;0.64898478;0.066588735;liquid
33.174.331;0.018683343;54.613.537;0.018310479;44.186.683;44.190.104;14.656.976;71.768.727;75.385.575;15.499.326;-0.20144135;47.610.723;0.64959766;0.066481361;liquid
33.236.653;0.019234271;54.595.978;0.018316368;44.656.502;44.660.025;14.798.464;71.711.992;75.390.267;15.503.382;-0.20109685;47.159.165;0.65020419;0.066373784;liquid
33.298.976;0.019798980;54.578.290;0.018322304;45.126.350;45.129.977;14.939.697;71.655.137;75.395.062;15.507.256;-0.20075272;46.714.700;0.65080441;0.066266006;liquid
33.361.299;0.020377746;54.560.475;0.018328286;45.596.227;45.599.962;15.080.674;71.598.167;75.399.961;15.510.952;-0.20040891;46.277.179;0.65139834;0.066158027;liquid
33.423.621;0.020970852;54.542.533;0.018334315;46.066.135;46.069.980;15.221.397;71.541.083;75.404.963;15.514.470;-0.20006541;45.846.456;0.65198601;0.066049846;liquid
33.485.944;0.021578583;54.524.466;0.018340390;46.536.074;46.540.031;15.361.867;71.483.891;75.410.069;15.517.811;-0.19972219;45.422.391;0.65256744;0.065941464;liquid
33.548.267;0.022201227;54.506.274;0.018346512;47.006.044;47.010.117;15.502.086;71.426.593;75.415.279;15.520.977;-0.19937922;45.004.848;0.65314267;0.065832882;liquid
33.610.589;0.022839079;54.487.958;0.018352679;47.476.046;47.480.237;15.642.053;71.369.193;75.420.592;15.523.970;-0.19903647;44.593.691;0.65371172;0.065724100;liquid
33.672.912;0.023492436;54.469.518;0.018358892;47.946.080;47.950.393;15.781.771;71.311.694;75.426.009;15.526.790;-0.19869391;44.188.792;0.65427461;0.065615118;liquid
33.735.235;0.024161600;54.450.955;0.018365151;48.416.148;48.420.586;15.921.241;71.254.099;75.431.530;15.529.439;-0.19835153;43.790.023;0.65483137;0.065505936;liquid
33.797.557;0.024846877;54.432.270;0.018371455;48.886.250;48.890.815;16.060.463;71.196.413;75.437.156;15.531.919;-0.19800929;43.397.260;0.65538202;0.065396556;liquid
33.859.880;0.025548578;54.413.463;0.018377805;49.356.387;49.361.082;16.199.440;71.138.638;75.442.886;15.534.231;-0.19766717;43.010.384;0.65592659;0.065286976;liquid
33.922.203;0.026267016;54.394.536;0.018384200;49.826.559;49.831.387;16.338.170;71.080.778;75.448.721;15.536.375;-0.19732514;42.629.276;0.65646510;0.065177199;liquid
33.984.525;0.027002511;54.375.488;0.018390640;50.296.766;50.301.732;16.476.657;71.022.835;75.454.661;15.538.354;-0.19698317;42.253.823;0.65699757;0.065067223;liquid
34.046.848;0.027755386;54.356.321;0.018397125;50.767.010;50.772.116;16.614.901;70.964.814;75.460.708;15.540.168;-0.19664125;41.883.912;0.65752404;0.064957049;liquid
34.109.171;0.028525968;54.337.034;0.018403654;51.237.291;51.242.541;16.752.903;70.906.718;75.466.860;15.541.819;-0.19629935;41.519.435;0.65804451;0.064846678;liquid
34.171.493;0.029314588;54.317.630;0.018410229;51.707.610;51.713.006;16.890.664;70.848.549;75.473.120;15.543.307;-0.19595743;41.160.286;0.65855901;0.064736111;liquid
34.233.816;0.030121584;54.298.107;0.018416848;52.177.967;52.183.514;17.028.185;70.790.311;75.479.487;15.544.635;-0.19561549;40.806.361;0.65906757;0.064625346;liquid
34.296.139;0.030947296;54.278.468;0.018423512;52.648.363;52.654.064;17.165.468;70.732.007;75.485.961;15.545.804;-0.19527348;40.457.560;0.65957021;0.064514385;liquid
34.358.461;0.031792068;54.258.712;0.018430220;53.118.799;53.124.658;17.302.513;70.673.640;75.492.545;15.546.813;-0.19493140;40.113.782;0.66006694;0.064403228;liquid
34.420.784;0.032656251;54.238.840;0.018436973;53.589.275;53.595.295;17.439.321;70.615.213;75.499.238;15.547.666;-0.19458921;39.774.934;0.66055779;0.064291876;liquid
34.483.107;0.033540197;54.218.852;0.018443769;54.059.792;54.065.978;17.575.893;70.556.730;75.506.040;15.548.362;-0.19424690;39.440.920;0.66104279;0.064180329;liquid
34.545.429;0.034444267;54.198.750;0.018450610;54.530.350;54.536.705;17.712.232;70.498.193;75.512.954;15.548.903;-0.19390443;39.111.648;0.66152194;0.064068586;liquid
